Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Create Term,1147,0,32,39.322210168880076,13.002634048461914,128.47518920898438,0.0,6.099492013610858,0.0,32,41,49,55,72,87,100,110,130,130,130
gRPC,Get Term,1711,0,7,8.450714626345698,2.009868621826172,53.555965423583984,0.0,9.098719124052465,0.0,7,8,10,11,15,21,26,30,48,54,54
gRPC,List Terms,2895,0,31,41.22254366701749,12.767791748046875,199.51224327087402,0.0,15.394968944553996,0.0,31,40,49,55,81,110,140,150,180,200,200
gRPC,[Setup] List Terms,200,0,20,27.715245485305786,13.538837432861328,162.4908447265625,0.0,1.063555712922556,0.0,20,30,34,35,45,70,89,120,160,160,160
,Aggregated,5953,0,23,30.98337994329913,2.009868621826172,199.51224327087402,0.0,31.656735795139877,0.0,23,32,39,44,65,87,120,140,180,200,200
