Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Create Term,641,77,82,129.60409235553206,9.733300015795976,2214.618900005007,137.1138845553822,2.138166545847408,0.25684683936076513,82,110,130,150,190,270,780,1100,2200,2200,2200
GET,Get Term,944,18,41,81.57286440707709,4.697299998952076,2348.9869000040926,157.864406779661,3.148875537098211,0.06004211829212691,41,70,83,96,140,220,570,960,2300,2300,2300
GET,List Terms,1552,0,3800.0,5156.238321713644,9.487700008321553,13862.634500022978,71013.67719072165,5.1769648660767205,0.0,3800,9200,10000,11000,12000,13000,13000,13000,14000,14000,14000
GET,[Setup] List Terms,50,0,180.0,491.23293999698944,46.694899996509776,2195.566800015513,29940.04,0.16678366192257474,0.0,190,210,240,1200,2000,2100,2200,2200,2200,2200,2200
,Aggregated,3187,95,73,2568.9126229995577,4.697299998952076,13862.634500022978,35126.18230310637,10.630790610944915,0.31688895765289204,73,140,1900,8400,11000,12000,13000,13000,14000,14000,14000
