Method,Name,Error,Occurrences
GET,Get Term,HTTPError('500 Server Error: Internal Server Error for url: Get Term'),3
GET,[Setup] List Terms,HTTPError('500 Server Error: Internal Server Error for url: [Setup] List Terms'),1
POST,Create Term,HTTPError('500 Server Error: Internal Server Error for url: Create Term'),17
GET,Get Term,HTTPError('404 Client Error: Not Found for url: Get Term'),4
POST,Create Term,HTTPError('409 Client Error: Conflict for url: Create Term'),2
