Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Create Term,511,57,44000.0,37202.77130410904,2999.558200011961,59879.37109998893,142.3757338551859,0.2846085223747846,0.03174693889503469,44000,46000,47000,48000,50000,52000,54000,54000,60000,60000,60000
GET,Get Term,709,16,45000.0,39302.16644710891,2967.7459000085946,56241.97979999008,143.90409026798307,0.3948873627470104,0.008911421444220262,45000,46000,48000,49000,50000,52000,54000,54000,56000,56000,56000
GET,List Terms,1237,1,96000.0,90588.24950671042,45591.839500004426,148759.2375999957,433450.31770412286,0.6889642704062791,0.0005569638402637664,96000,100000,102000,104000,107000,110000,112000,122000,149000,149000,149000
GET,[Setup] List Terms,100,1,104000.0,114106.21223599827,49923.81419998128,147762.9365999892,393662.5,0.055696384026376645,0.0005569638402637664,104000,105000,145000,145000,146000,146000,148000,148000,148000,148000,148000
,Aggregated,2557,75,57000.0,66618.7477554948,2967.7459000085946,148759.2375999957,225154.1161517403,1.4241565395544509,0.041772288019782486,57000,93000,98000,100000,105000,107000,112000,145000,148000,149000,149000
