Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Create Term,6333,0,29,35.94471319166382,11.195898056030273,284.75356101989746,0.0,3.479940974408081,0.0,29,35,41,46,64,82,98,110,170,280,280
gRPC,Get Term,9442,0,6,7.859401343308675,1.997232437133789,62.136173248291016,0.0,5.188315597720054,0.0,6,7,9,9,14,19,25,29,46,62,62
gRPC,List Terms,15596,0,77,95.01035952146128,22.54629135131836,470.45326232910156,0.0,8.569897274098915,0.0,77,90,100,120,180,250,320,360,440,470,470
gRPC,[Setup] List Terms,100,0,32,39.90020990371704,23.472070693969727,160.02202033996582,0.0,0.054949328507943804,0.0,32,41,44,48,63,90,120,160,160,160,160
,Aggregated,31471,0,39,56.802069340453414,1.997232437133789,470.45326232910156,0.0,17.293103174734995,0.0,39,64,79,86,120,180,270,320,430,460,470
