Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Create Term,54,0,73,69.32588859840676,18.047809600830078,110.04853248596191,0.0,0.927559387903336,0.0,73,82,89,94,96,100,110,110,110,110,110
gRPC,Get Term,98,0,21,20.252276440056004,4.306793212890625,40.1453971862793,0.0,1.6833485187875357,0.0,22,24,25,26,28,29,33,40,40,40,40
gRPC,List Terms,131,0,22,21.80999471941067,4.51207160949707,76.16424560546875,0.0,2.2501903669506853,0.0,22,27,29,30,33,36,47,61,76,76,76
gRPC,[Setup] List Terms,10,0,24,27.678585052490234,7.000923156738281,67.44623184204102,0.0,0.17177025701913629,0.0,29,29,33,51,67,67,67,67,67,67,67
,Aggregated,293,0,24,30.246471789102912,4.306793212890625,110.04853248596191,0.0,5.032868530660694,0.0,24,28,31,34,73,89,96,100,110,110,110
