Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Create Term,1369,0,54,56.7585047881389,14.772891998291016,145.33758163452148,0.0,4.583998077799888,0.0,54,67,77,81,94,100,110,120,130,150,150
gRPC,Get Term,2113,0,11,13.018125840063858,2.008199691772461,62.03937530517578,0.0,7.075228589036642,0.0,11,15,18,20,25,27,31,33,51,62,62
gRPC,List Terms,3578,0,24,29.361511889351622,5.001068115234375,135.90312004089355,0.0,11.980675765060626,0.0,24,31,37,42,55,69,85,96,120,140,140
gRPC,[Setup] List Terms,50,0,15,19.664344787597656,6.00123405456543,78.94778251647949,0.0,0.16742140532505068,0.0,15,20,22,23,55,63,79,79,79,79,79
,Aggregated,7110,0,22,29.711448626511544,2.008199691772461,145.33758163452148,0.0,23.807323837222206,0.0,22,31,39,46,65,82,97,110,120,150,150
